n,m,T,n_cops,graph_type,cop_strategy,robber_strategy,n_games,cop_wins,robber_wins,win_rate,mean_rounds,mean_seconds_per_game,placement,bucket
30,75,30,1,any,random,random,4,3,1,0.75,18.5,0.0032,heuristic,n30_dense
30,75,30,1,any,random,greedy,4,0,4,0.0,30.0,0.0049,heuristic,n30_dense
30,75,30,1,any,random,minimax(d=5),4,0,4,0.0,30.0,6.5307,heuristic,n30_dense
30,75,30,1,any,greedy,random,4,4,0,1.0,2.75,0.001,heuristic,n30_dense
30,75,30,1,any,greedy,greedy,4,2,2,0.5,22.0,0.0036,heuristic,n30_dense
30,75,30,1,any,greedy,minimax(d=5),4,0,4,0.0,30.0,6.9286,heuristic,n30_dense
30,75,30,1,any,minimax(d=5),random,4,4,0,1.0,4.5,0.9907,heuristic,n30_dense
30,75,30,1,any,minimax(d=5),greedy,4,2,2,0.5,17.0,2.5426,heuristic,n30_dense
30,75,30,1,any,minimax(d=5),minimax(d=5),4,1,3,0.25,23.25,10.0216,heuristic,n30_dense
